,area,mean_intensity,eccentricity,major_axis_length,perimeter,max_intensity,circularity
0,394,117.36294416243655,0.8684728341408686,32.16829656931325,79.21320343559643,179,0.7890616426076419
1,490,100.4530612244898,0.7683929921609898,31.2930332917384,83.84062043356595,146,0.8759856202363608
2,786,137.84860050890586,0.8042994958365236,42.4634400326279,118.46803743153549,238,0.7037688207603966
3,540,73.66296296296296,0.703629037718507,31.16838238553284,86.18376618407356,100,0.9135928386851271
4,653,82.34456355283308,0.543215499469229,31.726092634740667,94.91168824543142,128,0.9109271541481849
5,633,94.42812006319116,0.5261197920177093,30.936009220867557,92.66904755831213,137,0.9262840272984683
6,237,88.77637130801688,0.5708558679561291,19.27691993710692,57.834523779156065,124,0.890397398215878
7,447,90.89709172259508,0.6850885194285082,28.14741449438056,79.698484809835,154,0.8843359033886787
8,416,99.27163461538461,0.7004869448888746,27.489497685393477,75.94112549695427,155,0.9064610257686943
9,649,164.10015408320493,0.8235433408524182,38.48669640384455,102.08326112068522,255,0.7826101748651036
10,553,105.95840867992767,0.8346696320444266,36.48493292894402,98.42640687119285,173,0.7173180067558695
11,667,107.97301349325338,0.6496240254907839,33.69036934614913,98.8111831820431,170,0.8584667892519074
12,739,114.44519621109607,0.7751025639548541,38.73734475886541,103.39696961966999,201,0.8686377138809422
13,447,94.91946308724832,0.7874894425325575,30.804758767117118,81.84062043356595,138,0.8386477013342469
14,417,125.4220623501199,0.5454881840698593,25.473685407319593,80.52691193458118,208,0.8080976224983022
15,553,123.42857142857143,0.821859545374816,35.57698984130925,93.74011537017762,176,0.7908316244844572
16,274,163.1934306569343,0.670600321484534,21.8714176726301,63.24873734152916,255,0.8607097189302748
17,824,135.97936893203882,0.8449692012651427,46.41568318062126,124.18376618407358,255,0.6714403278497882
18,462,90.58874458874459,0.6626544680174359,28.06398507106484,78.18376618407356,143,0.9497704768991636
19,559,102.20035778175313,0.8286496877532997,36.44602777254521,94.66904755831214,146,0.7838007167537677
20,220,179.08636363636364,0.5809525300764203,18.972842537135218,56.62741699796951,255,0.862142472162764
21,403,124.86848635235732,0.6016453781339752,25.481052072401916,74.2842712474619,255,0.9177432012304638
22,481,85.10602910602911,0.5487938341583105,27.1204229142882,80.08326112068522,148,0.9424784752506576
23,424,102.19575471698113,0.817675513839168,30.684602181639878,78.66904755831214,149,0.8609301876235368
